"Food_Code","Food_Abbrev_Desc","Food_Desc"
11211050.00,"MILK, EVAPORATED, WHOLE","Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)"
11211100.00,"MILK, EVAPORATED, WHOLE, UNDILUTED","Milk, evaporated, whole, undiluted"
11211200.00,"MILK, EVAPORATED, WHOLE, DILUTED","Milk, evaporated, whole, diluted"
11211400.00,"MILK, EVAPORATED, 2% FAT","Milk, evaporated, 2% fat (formerly NS as to dilution)"
11211500.00,"MILK, EVAPORATED, 2% FAT, UNDILUTED","Milk, evaporated, 2% fat, undiluted"
11212000.00,"MILK, EVAPORATED, SKIM, NS AS TO DILUTION","Milk, evaporated, skim, NS as to dilution"
11212050.00,"MILK, EVAPORATED, SKIM","Milk, evaporated, skim (formerly NS as to dilution, used in coffee or tea)"
11212100.00,"MILK, EVAPORATED, SKIM, UNDILUTED","Milk, evaporated, skim, undiluted"
11220000.00,"MILK, CONDENSED, SWEETENED","Milk, condensed, sweetened (formerly NS as to dilution)"
11220100.00,"MILK, CONDENSED, SWEETENED, UNDILUTED","Milk, condensed, sweetened, undiluted"
11220200.00,"MILK, CONDENSED, SWEETENED, DILUTED","Milk, condensed, sweetened, diluted"
11310000.00,"MILK, IMITATION, FLUID, SOY BASED","Milk, imitation, fluid, soy based"
11320000.00,"MILK, SOY, READY-TO-DRINK, NOT BABY","Milk, soy, ready-to-drink, not baby's"
11320100.00,"MILK, SOY, LIGHT, READY-TO-DRINK, NOT BABY'S","Milk, soy, light, ready-to-drink, not baby's"
11320200.00,"MILK, SOY, NONFAT, READY-TO-DRINK, NOT BABY'S","Milk, soy, nonfat, ready-to-drink, not baby's"
11321000.00,"MILK, SOY, READY-TO-DRINK, NOT BABY'S, CHOCOLATE","Milk, soy, ready-to-drink, not baby's, chocolate"
11321100.00,"MILK, SOY, LIGHT, READY-TO-DRINK, NOT BABY'S, CHOCOLATE","Milk, soy, light, ready-to-drink, not baby's, chocolate"
11330000.00,"MILK, SOY, DRY, RECONSTITUTED, NOT BABY","Milk, soy, dry, reconstituted, not baby's"
11340000.00,"MILK,IMITATION,FLUID,NONSOY,SWEETENED,NOT CHOCOLATE","Milk, imitation, fluid, non-soy, sweetened, flavors other than chocolate"
11410000.00,"YOGURT, NS AS TO TYPE OF MILK/FLAVOR","Yogurt, NS as to type of milk or flavor"
11411010.00,"YOGURT, PLAIN, NS AS TO TYPE OF MILK","Yogurt, plain, NS as to type of milk"
11411100.00,"YOGURT, PLAIN, WHOLE MILK","Yogurt, plain, whole milk"
11411200.00,"YOGURT, PLAIN, LOWFAT MILK","Yogurt, plain, lowfat milk"
11411300.00,"YOGURT, PLAIN, NONFAT MILK","Yogurt, plain, nonfat milk"
11420000.00,"YOGURT, VANILLA, LEMON, COFFEE, NS AS TO MILK TYPE","Yogurt, vanilla, lemon, or coffee flavor, NS as to type of milk"
11421000.00,"YOGURT, VANILLA, LEMON, COFFEE, WHOLE MILK","Yogurt, vanilla, lemon, or coffee flavor, whole milk"
11422000.00,"YOGURT, VANILLA, LEMON, COFFEE, LOWFAT MILK","Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk"
11423000.00,"YOGURT, VANILLA, LEMON, COFFEE, NONFAT MILK","Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk"
11424000.00,"YOGURT, VANILLA, LEMON, COFFEE, NONFAT MILK, LOW CAL SWEET","Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener"
11425000.00,"YOGURT, CHOCOLATE, NS AS TO TYPE OF MILK","Yogurt, chocolate, NS as to type of milk"
11426000.00,"YOGURT, CHOCOLATE, WHOLE MILK","Yogurt, chocolate, whole milk"
11427000.00,"YOGURT, CHOCOLATE, NONFAT MILK","Yogurt, chocolate, nonfat milk"
11430000.00,"YOGURT, FRUIT VARIETY, NS AS TO MILK TYPE","Yogurt, fruit variety, NS as to type  of milk"
11431000.00,"YOGURT, FRUIT VARIETY, WHOLE MILK","Yogurt, fruit variety, whole milk"
11432000.00,"YOGURT, FRUIT VARIETY, LOWFAT MILK","Yogurt, fruit variety, lowfat milk"
11432500.00,"YOGURT, FRUIT VARIETY, LOWFAT MILK, W/ LOW CAL SWEETENER","Yogurt, fruit variety, lowfat milk, sweetened with low-calorie sweetener"
11433000.00,"YOGURT, FRUIT VARIETY, NONFAT MILK","Yogurt, fruit variety, nonfat milk"
11433500.00,"YOGURT, FRUITED, NONFAT MILK, LOW CAL SWEETENER","Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener"
11445000.00,"YOGURT, FRUIT & NUTS, LOWFAT MILK","Yogurt, fruit and nuts, lowfat milk"
11446000.00,"FRUIT AND LOWFAT YOGURT PARFAIT","Fruit and lowfat yogurt parfait"
11459990.00,"YOGURT, FROZEN, NS AS TO FLAVOR, NS TO TYPE OF MILK","Yogurt, frozen, NS as to flavor, NS as to type of milk"
11460000.00,"YOGURT, FROZEN, NOT CHOCOLATE, TYPE OF MILK NS","Yogurt, frozen, flavors other than chocolate, NS as to type of milk"
11460100.00,"YOGURT, FROZEN, CHOCOLATE, TYPE OF MILK NS","Yogurt, frozen, chocolate, NS as to type of milk"
11460150.00,"YOGURT, FROZEN, NS AS TO FLAVOR, LOWFAT MILK","Yogurt, frozen, NS as to flavor, lowfat milk"
11460160.00,"YOGURT, FROZEN, CHOCOLATE, LOWFAT MILK","Yogurt, frozen, chocolate, lowfat milk"
11460170.00,"YOGURT, FROZEN, NOT CHOCOLATE, LOWFAT MILK","Yogurt, frozen, flavors other than chocolate, lowfat milk"
11460190.00,"YOGURT, FROZEN, NS AS TO FLAVOR, NONFAT MILK","Yogurt, frozen, NS as to flavor, nonfat milk"
11460200.00,"YOGURT, FROZEN, CHOCOLATE, NONFAT MILK","Yogurt, frozen, chocolate, nonfat milk"
11460250.00,"YOGURT,FROZEN,NOT CHOCOLATE,W/ SORBET/SORBET-COATED","Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated"
11460300.00,"YOGURT, FROZEN, NOT CHOCOLATE, NONFAT MILK","Yogurt, frozen, flavors other than chocolate, nonfat milk"
11460400.00,"YOGURT,FRZ,CHOCOLATE,NONFAT MILK,W/ LOW-CAL SWEET","Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener"
11460410.00,"YOGURT,FRZ,NOT CHOC,NONFAT MILK,W/ LOW-CAL SWEET","Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener"
11460420.00,"YOGURT, FROZEN, NS AS TO FLAVOR, WHOLE MILK","Yogurt, frozen, NS as to flavor, whole milk"
11460430.00,"YOGURT, FROZEN, CHOCOLATE, WHOLE MILK","Yogurt, frozen, chocolate, whole milk"
11460440.00,"YOGURT, FROZEN, NOT CHOCOLATE, WHOLE MILK","Yogurt, frozen, flavors other than chocolate, whole milk"
11461000.00,"YOGURT, FROZEN, CHOCOLATE-COATED","Yogurt, frozen, chocolate-coated"
11461200.00,"YOGURT, FROZEN, SANDWICH","Yogurt, frozen, sandwich"
11461250.00,"YOGURT, FROZEN, CONE, CHOCOLATE","Yogurt, frozen, cone, chocolate"
11461260.00,"YOGURT, FROZEN, CONE, NOT CHOCOLATE","Yogurt, frozen, cone, flavors other than chocolate"
11461270.00,"YOGURT, FROZEN, CONE, NOT CHOCOLATE, LOWFAT MILK","Yogurt, frozen, cone, flavors other than chocolate, lowfat milk"
11461280.00,"YOGURT, FROZ, CONE, CHOCOLATE, LOWFAT MILK","Yogurt, frozen, cone, chocolate, lowfat milk"
11511000.00,"MILK, CHOCOLATE, NFS","Milk, chocolate, NFS"
11511100.00,"MILK, CHOCOLATE, WHOLE MILK BASED","Milk, chocolate, whole milk-based"
11511200.00,"MILK, CHOCOLATE, RED FAT, 2%","Milk, chocolate, reduced fat milk-based, 2% (formerly ""lowfat"")"
11511300.00,"MILK, CHOCOLATE, SKIM MILK BASED","Milk, chocolate, skim milk-based"
11511400.00,"MILK, CHOCOLATE, LOWFAT MILK BASED","Milk, chocolate, lowfat milk-based"
11512000.00,"COCOA,HOT CHOCOLATE,NOT FROM DRY MIX, W/WHOLE MILK","Cocoa, hot chocolate, not from dry mix, made with whole milk"
11512500.00,"HOT CHOCOLATE, P.R., MADE W/ WHOLE MILK","Hot chocolate, Puerto Rican style, made with whole milk"
11512510.00,"HOT CHOCOLATE, P.R., MADE W/ LOW FAT MILK","Hot chocolate, Puerto Rican style, made with low fat milk"
11513000.00,"COCOA & SUGAR MIXTURE, MILK ADDED, NS TYPE MILK","Cocoa and sugar mixture, milk added, NS as to type of milk"
11513100.00,"COCOA & SUGAR MIXTURE, WHOLE MILK ADDED","Cocoa and sugar mixture, whole milk added"
11513150.00,"COCOA & SUGAR MIXTURE, REDUCED FAT MILK ADDED","Cocoa and sugar mixture, reduced fat milk added"
11513200.00,"COCOA & SUGAR MIXTURE, LOWFAT MILK ADDED","Cocoa and sugar mixture, lowfat milk added"
11513300.00,"COCOA & SUGAR MIXTURE, SKIM MILK ADDED","Cocoa and sugar mixture, skim milk added"
11513400.00,"CHOCOLATE SYRUP, MILK ADDED, NS AS TO TYPE OF MILK","Chocolate syrup, milk added, NS as to type of milk"
11513500.00,"CHOCOLATE SYRUP, WHOLE MILK ADDED","Chocolate syrup, whole milk added"
11513550.00,"CHOCOLATE SYRUP, RED FAT MILK ADDED","Chocolate syrup, reduced fat milk added"
11513600.00,"CHOCOLATE SYRUP, LOWFAT MILK ADDED","Chocolate syrup, lowfat milk added"
11513700.00,"CHOCOLATE SYRUP, SKIM MILK ADDED","Chocolate syrup, skim milk added"
11514100.00,"COCOA, SUGAR, & DRY MILK MIXTURE, WATER ADDED","Cocoa, sugar, and dry milk mixture, water added"
11514300.00,"COCOA W/ NF DRY MILK, LO CAL SWEETENER, WATER ADDED","Cocoa with nonfat dry milk and low calorie sweetener, mixture, water added"
11514500.00,"COCOA W/ WHEY, LO CAL SWEETNR, FORTIFD, WATER ADDED","Cocoa, whey, and low calorie sweetener, mixture, fortified, water added"
11516000.00,"COCOA, WHEY, LO CAL SWEETNER MIX, LOWFAT MILK ADDED","Cocoa, whey, and low-calorie sweetener mixture, lowfat milk added"
11518050.00,"MILK BEV W/NF DRY MILK, LO CAL SWEET,WATER,NOT CHOC","Milk beverage with nonfat dry milk and low calorie sweetener, water added, flavors other than chocolate"
11518100.00,"MILK BEV W/NFD MILK, LO CAL SWEET, HI CALCIUM, CHOC","Milk beverage with nonfat dry milk and low calorie sweetener, high calcium, water added, chocolate"
11519000.00,"MILK BEVERAGE, NOT CHOCOLATE, W/ WHOLE MILK","Milk beverage, made with whole milk, flavors other than chocolate"
11519040.00,"MILK, FLAVORS OTHER THAN CHOCOLATE, NFS","Milk, flavors other than chocolate, NFS"
11519050.00,"MILK, NOT CHOCOLATE, WHOLE MILK BASED","Milk, flavors other than chocolate, whole milk-based"
11519105.00,"MILK, FLAVORS OTHER THAN CHOCOLATE, REDUCED FAT MILK-BASED","Milk, flavors other than chocolate, reduced fat milk-based"
11519200.00,"MILK, FLAVORS OTHER THAN CHOCOLATE, LOWFAT MILK-BASED","Milk, flavors other than chocolate, lowfat milk-based"
11519205.00,"MILK, FLAVORS OTHER THAN CHOCOLATE, SKIM-MILK BASED","Milk, flavors other than chocolate, skim-milk based"
11520000.00,"MILK, MALTED, UNFORTIFIED, FLAVOR NS","Milk, malted, unfortified, NS as to flavor, made with milk"
11521000.00,"MILK, MALTED, UNFORTIFIED, CHOCOLATE FLAVOR","Milk, malted, unfortified, chocolate, made with milk"
11522000.00,"MILK, MALTED, UNFORTIFIED, NATURAL FLAVOR","Milk, malted, unfortified, natural flavor, made with milk"
11525000.00,"MILK,MALTED,FORTIFIED,NATURAL FLAVOR (INCL OVALTINE","Milk, malted, fortified, natural flavor, made with milk"
11526000.00,"MILK, MALTED, FORTIFIED, CHOCOLATE (INCL OVALTINE)","Milk, malted, fortified, chocolate, made with milk"
11527000.00,"MILK, MALTED, FORTIFIED, (INCL OVALTINE)","Milk, malted, fortified, NS as to flavor, made with milk"
11531000.00,"EGGNOG, MADE W/ WHOLE MILK (INCLUDE EGG NOG, NFS)","Eggnog, made with whole milk"
11531500.00,"EGGNOG, MADE W/ 2% REDUCED FAT MILK","Eggnog, made with 2% reduced fat milk (formerly eggnog, made with ""2% lowfat"" milk)"
11541000.00,"MILK SHAKE, NS AS TO FLAVOR OR TYPE","Milk shake, NS as to flavor or type"
11541100.00,"MILK SHAKE,HOMEMADE/ FOUNTAIN-TYPE, NS AS TO FLAVOR","Milk shake, homemade or fountain-type, NS as to flavor"
11541110.00,"MILK SHAKE, HOMEMADE OR FOUNTAIN-TYPE, CHOCOLATE","Milk shake, homemade or fountain-type, chocolate"
11541120.00,"MILK SHAKE, HOMEMADE/FOUNTAIN-TYPE, NOT CHOCOLATE","Milk shake, homemade or fountain-type, flavors other than chocolate"
11541400.00,"MILK SHAKE WITH MALT (INCL MALTED MILK W/ICE CREAM)","Milk shake with malt"
11541500.00,"MILK SHAKE, MADE W/ SKIM MILK, CHOCOLATE","Milk shake, made with skim milk, chocolate"
11541510.00,"MILK SHAKE,MADE W/ SKIM MILK, NOT CHOCOLATE","Milk shake, made with skim milk, flavors other than chocolate"
11542100.00,"CARRY-OUT MILK SHAKE, CHOCOLATE","Carry-out milk shake, chocolate"
11542200.00,"CARRY-OUT MILK SHAKE, NOT CHOCOLATE","Carry-out milk shake, flavors other than chocolate"
11551050.00,"MILK FRUIT DRINK (INCL LICUADO)","Milk fruit drink"
11552200.00,"ORANGE JULIUS","Orange Julius"
11553000.00,"FRUIT SMOOTHIE DRINK, W/ FRUIT OR JUICE & DAIRY PRODUCTS","Fruit smoothie drink, made with fruit or fruit juice and dairy products"
11553100.00,"FRUIT SMOOTHIE DRINK, NFS","Fruit smoothie drink, NFS"
11560000.00,"CHOC-FLAVORED DRINK, WHEY-&MILK-BASED(INCL YOO-HOO)","Chocolate-flavored drink, whey- and milk-based"
11560020.00,"MILK DRINK, WHEY&MILK-BASE, NOT CHOC (INCL YOO-HOO)","Flavored milk drink, whey- and milk-based, flavors other than chocolate"
11561000.00,"CAFE CON LECHE","Cafe con leche"
11561010.00,"CAFE CON LECHE PREPARED W/ SUGAR","Cafe con leche prepared with sugar"
11611000.00,"INSTANT BREAKFAST, FLUID, CANNED","Instant breakfast, fluid, canned"
11612000.00,"INSTANT BREAKFAST, POWDER, MILK ADDED","Instant breakfast, powder, milk added"
11613000.00,"INSTANT BFAST,PWDR,SWT W/ LO CAL SWT, MILK ADDED","Instant breakfast, powder, sweetened with low calorie sweetener, milk added"
11621000.00,"DIET BEVERAGE, LIQUID, CANNED","Diet beverage, liquid, canned"
11623000.00,"MEAL SUPPLEMENT / REPLACEMENT,PREPARED,RTD","Meal supplement or replacement, commercially prepared, ready-to-drink"
11631000.00,"HIGH CALORIE BEV, CANNED OR POWDERED, RECONSTITUTED","High calorie beverage, canned or powdered, reconstituted"
11641000.00,"MEAL REPLACEMENT, MILK BASED, HIGH PROTEIN, LIQUID","Meal supplement or replacement, milk-based, high protein, liquid"
11641020.00,"MEAL REPLACEMENT OR SUPPLEMENT, MILK BASED, RTD","Meal replacement or supplement, milk based, ready-to-drink"
11710000.00,"INFANT FORMULA, NFS","Infant formula, NFS"
11710050.00,"SIMILAC ALIMENTUM, W/ IRON, INFANT FORMULA, NS FORM","Similac Alimentum, with iron, infant formula, NS as to form"
11710051.00,"SIMILAC ALIMENTUM, W/ IRON, INFANT FORMULA, RTF","Similac Alimentum, with iron, infant formula, ready-to-feed"
11710053.00,"SIMILAC ALIMENTUM, W/ IRON, INFANT FORMULA, PREP FROM PDR","Similac Alimentum, with iron, infant formula, prepared from powder"
11710063.00,"SIMILAC ALIMENTUM ADVANCE, W/ IRON,INF FORMULA,PREP FROM PDR","Similac Alimentum Advance, with iron, infant formula, prepared from powder"
11710100.00,"ENFAMIL, LOW IRON, INFANT FORMULA, NS AS TO FORM","Enfamil, low iron, infant formula, NS as to form"
11710101.00,"ENFAMIL, LOW IRON, INFANT FORMULA, READY-TO-FEED","Enfamil, low iron, infant formula, ready-to-feed"
11710102.00,"ENFAMIL, LOW IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE","Enfamil, low iron, infant formula, prepared from liquid concentrate"
11710103.00,"ENFAMIL, LOW IRON, INFANT FORMULA, PREPARED FROM POWDER","Enfamil, low iron, infant formula, prepared from powder"
11710110.00,"GERBER, W/ IRON, INFANT FORMULA, NS AS TO FORM","Gerber, with iron, infant formula, NS as to form"
11710111.00,"GERBER, WITH IRON, INFANT FORMULA, READY-TO-FEED","Gerber, with iron, infant formula, ready-to-feed"
11710112.00,"GERBER, WITH IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE","Gerber, with iron, infant formula, prepared from liquid concentrate"
11710113.00,"GERBER, WITH IRON, INFANT FORMULA, PREPARED FROM POWDER","Gerber, with iron, infant formula, prepared from powder"
11710123.00,"GERBER, LOW IRON, INFANT FORMULA, PREPARED FROM POWDER","Gerber, low iron, infant formula, prepared from powder"
11710200.00,"SIMILAC, LOW IRON, INFANT FORMULA, NS AS TO FORM","Similac, low iron, infant formula, NS as to form"
11710201.00,"SIMILAC, LOW IRON, INFANT FORMULA, READY-TO-FEED","Similac, low iron, infant formula, ready-to-feed"
11710202.00,"SIMILAC, LOW IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE","Similac, low iron, infant formula, prepared from liquid concentrate"
11710203.00,"SIMILAC, LOW IRON, INFANT FORMULA, PREPARED FROM POWDER","Similac, low iron, infant formula, prepared from powder"
11710250.00,"SIMILAC NATURAL CARE ADVANCE,LOW IRON,W/ARA&DHA,INF,NS FORM","Similac Natural Care Advance, low iron, with ARA and DHA, infant formula, NS as to form"
11710350.00,"SIMILAC ADVANCE, W/ IRON, INFANT FORMULA, NS FORM","Similac Advance, with iron, infant formula, NS as to form"
11710351.00,"SIMILAC ADVANCE, W/ IRON, INFANT FORMULA, RTF","Similac Advance, with iron, infant formula, ready-to-feed"
11710352.00,"SIMILAC ADVANCE, W/ IRON, INFANT FORMULA, FROM LIQ CONC","Similac Advance, with iron, infant formula, prepared from liquid concentrate"
11710353.00,"SIMILAC ADVANCE, W/ IRON, INFANT FORMULA, PREP FROM PDR","Similac Advance, with iron, infant formula, prepared from powder"
11710371.00,"SIMILAC SENSITIVE, W/ IRON, ARA&DHA, INFANT FORMULA, RTF","Similac Sensitive, with iron, ARA and DHA, infant formula, ready-to-feed  (formerly Lactose Free Advance ...)"
11710373.00,"SIMILAC SENSITIVE, W/IRON, ARA&DHA,INF FORMULA,PREP FR PDR","Similac Sensitive, with iron, ARA and DHA, infant formula, prepared from powder   (formerly Lactose Free Advance ...)"
11710400.00,"SIMILAC W/ IRON, INFANT FORMULA, NS AS TO FORM","Similac, with iron, infant formula, NS as to form"
11710401.00,"SIMILAC W/ IRON, INFANT FORMULA, READY-TO-FEED","Similac, with iron, infant formula, ready-to-feed"
11710402.00,"SIMILAC W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE","Similac, with iron, infant formula, prepared from liquid concentrate"
11710403.00,"SIMILAC W/ IRON, INFANT FORMULA, PREPARED FROM POWDER","Similac, with iron, infant formula, prepared from powder"
11710450.00,"SIMILAC SPECIAL CARE ADVANCE 24, W/IRON, ARA&DHA,INF,NS FORM","Similac Special Care Advance 24, with iron, ARA and DHA, infant formula, NS as to form"
11710451.00,"SIMILAC SPECIAL CARE ADVANCE 24, W/IRON, ARA&DHA, INF,RTF","Similac Special Care Advance 24, with iron, ARA and DHA, infant formula, ready-to-feed"
11710461.00,"SIMILAC, TODDLER'S BEST, IRON, INFANT FORMULA, READY-TO-FEED","Similac, Toddler's Best, with iron, infant formula, all flavors, ready-to-feed"
11710470.00,"SIMILAC NEOSURE, W/ IRON, ARA&DHA, INFANT FORMULA, NS FORM","Similac NeoSure, with iron, ARA and DHA, infant formula, NS as to form"
11710473.00,"SIMILAC NEOSURE, W/ IRON, ARA&DHA,INFANT FORMULA,PREP FR PDR","Similac NeoSure, with iron, ARA and DHA, infant formula, prepared from powder"
11710500.00,"SMA, W/ IRON, INFANT FORMULA, NS AS TO FORM","SMA, with iron, infant formula, NS as to form"
11710501.00,"SMA, W/ IRON, INFANT FORMULA, READY-TO-FEED","SMA, with iron, infant formula, ready-to-feed"
11710502.00,"SMA, W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE","SMA, with iron, infant formula, prepared from liquid concentrate"
11710503.00,"SMA, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER","SMA, with iron, infant formula, prepared from powder"
11710551.00,"SMA, LOW IRON, INFANT FORMULA, READY-TO-FEED","SMA, low iron, infant formula, ready-to-feed"
11710552.00,"SMA, LOW IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE","SMA, low iron, infant formula, prepared from liquid concentrate"
11710553.00,"SMA, LOW IRON, INFANT FORMULA, PREPARED FROM POWDER","SMA, low iron, infant formula, prepared from powder"
11710600.00,"ENFAMIL W/ IRON, INFANT FORMULA, NS AS TO FORM","Enfamil, with iron, infant formula, NS as to form"
11710601.00,"ENFAMIL W/ IRON, INFANT FORMULA, READY-TO-FEED","Enfamil, with iron, infant formula, ready-to-feed"
11710602.00,"ENFAMIL W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE","Enfamil, with iron, infant formula, prepared from liquid concentrate"
11710603.00,"ENFAMIL, W/ IRON, INFANT FORMULA, PREP FROM PDR","Enfamil, with iron, infant formula, prepared from powder"
11710650.00,"ENFAMIL LIPIL, W/ IRON, INFANT FORMULA, NS FORM","Enfamil Lipil, with iron, infant formula, NS as to form"
11710651.00,"ENFAMIL LIPIL, W/ IRON, INFANT FORMULA, RTF","Enfamil Lipil, with iron, infant formula, ready-to-feed"
11710652.00,"ENFAMIL LIPIL, W/ IRON, INFANT FORMULA, FROM LIQ CONC","Enfamil Lipil, with iron, infant formula, prepared from liquid concentrate"
11710653.00,"ENFAMIL LIPIL, W/ IRON, INFANT FORMULA,  PREP FROM PDR","Enfamil Lipil, with iron, infant formula, prepared from powder"
11710661.00,"ENFAMIL A.R. LIPIL, INFANT FORMULA, READY-TO-FEED","Enfamil A.R. Lipil, infant formula, ready-to-feed"
11710663.00,"ENFAMIL A.R. LIPIL, INFANT FORMULA, PREP FROM POWDER","Enfamil A.R. Lipil, infant formula, prepared from powder"
11710667.00,"ENFAMIL ENFACARE LIPIL W/IRON, INFANT FORMULA, PREP FROM PDR","Enfamil EnfaCare Lipil with iron, infant formula, prepared from powder"
11710673.00,"ENFAMIL GENTLEASE LIPIL, W/ IRON, INF FORMULA, PREP FROM PDR","Enfamil Gentlease Lipil, with iron, infant formula, prepared from powder"
11710710.00,"LACTOFREE, W/ IRON, INFANT FORMULA, NS FORM","Lactofree, with iron, infant formula, NS as to form"
11710711.00,"LACTOFREE, W/ IRON, INFANT FORMULA, RTF","Lactofree, with iron, infant formula, ready-to-feed"
11710712.00,"LACTOFREE, W/ IRON, INFANT FORMULA, FROM LIQ CONC","Lactofree, with iron, infant formula, prepared from liquid concentrate"
11710713.00,"LACTOFREE, W/ IRON, INFANT FORMULA, PREP FROM PDR","Lactofree, with iron, infant formula, prepared from powder"
11710720.00,"ENFAMIL LACTOFREE LIPIL, W/ IRON, INF FORMULA, NS FORM","Enfamil LactoFree Lipil, with iron, infant formula, NS as to form"
11710721.00,"ENFAMIL LACTOFREE LIPIL, W/IRON, INF FORMULA, RTF","Enfamil LactoFree Lipil, with iron, infant formula, ready-to-feed"
11710722.00,"ENFAMIL LACTOFREE LIPIL, W/IRON, INF FORMULA, FROM LIQ CONC","Enfamil LactoFree Lipil, with iron, infant formula, prepared from liquid concentrate"
11710723.00,"ENFAMIL LACTOFREE LIPIL,W/IRON, INF FORMULA, PREP FROM PDR","Enfamil LactoFree Lipil, with iron, infant formula, prepared from powder"
11710800.00,"PEDIASURE, W/ IRON, INFANT FORMULA, NS AS TO FORM","Pediasure, with iron, infant formula, NS as to form"
